Date,Open,High,Low,Close,Volume,Adj Close,
2/19/2014,182.74,185.65,182.41,182.95,4671500,182.95,-0.001310115
2/18/2014,183.18,184,182.32,183.19,4435200,183.19,-0.002721977
2/14/2014,181.26,184.43,180.99,183.69,4659900,183.69,0.010173779
2/13/2014,178.22,182.36,177.86,181.84,4482000,181.84,0.008877053
2/12/2014,179.52,181.25,179.26,180.24,3983000,180.24,0.003005008
2/11/2014,176.81,180.39,176.8,179.7,4647300,179.7,0.014451846
2/10/2014,176.97,177.65,176.25,177.14,3540400,177.14,-0.000620592
2/7/2014,175.64,177.56,175.07,177.25,4692900,177.25,0.01477071
2/6/2014,173.97,174.85,173.79,174.67,4292200,174.67,0.007963529
2/5/2014,172.19,174.97,172.19,174.24,4712300,173.29,0.008086097
2/4/2014,173.53,173.75,172.36,172.84,4349800,171.9,-0.000348918
2/3/2014,176.02,176.02,172.72,172.9,7186800,171.96,-0.021397678
1/31/2014,176.11,177.84,175.34,176.68,5193400,175.72,-0.003798401
1/30/2014,177.17,177.86,176.36,177.36,4853700,176.39,0.005414957
1/29/2014,175.98,178.53,175.89,176.4,4970900,175.44,-0.002558417
1/28/2014,178.05,178.45,176.16,176.85,5333300,175.89,-0.005878031
1/27/2014,179.61,179.65,177.66,177.9,5208600,176.93,-0.009683197
1/24/2014,181.25,182.81,179.64,179.64,6890600,178.66,-0.016893193
1/23/2014,181.43,183.72,180.71,182.73,6973900,181.73,0.00259296
1/22/2014,181.28,183.5,179.67,182.25,13796100,181.26,-0.032764141
1/21/2014,190.23,190.39,186.79,188.43,11076300,187.4,-0.00872785
1/17/2014,188.04,190.81,187.86,190.09,7644600,189.05,0.007031375
1/16/2014,187.53,188.99,186.8,188.76,4770300,187.73,0.005409169
1/15/2014,185.82,188.65,185.49,187.74,4816500,186.72,0.009788546
1/14/2014,185.06,186.43,183.88,185.92,4619200,184.91,0.009554488
1/13/2014,186.26,186.95,183.86,184.16,5784700,183.16,-0.016537801
1/10/2014,188.31,188.57,186.28,187.26,4022400,186.24,-0.000643915
