Date,Open,High,Low,Close,Volume,Adj Close
2011-03-28,14.99,15.09,14.71,14.91,39340000,14.14
2011-03-21,14.70,15.20,14.02,15.01,68561000,14.24
2011-03-14,14.47,14.80,13.75,14.49,89012500,13.75
2011-03-07,14.34,14.60,13.87,14.36,91902300,13.62
2011-02-28,15.29,15.29,14.28,14.42,68779600,13.68
2011-02-22,15.36,15.52,14.49,15.07,113899300,14.30
2011-02-14,16.38,16.39,15.70,15.77,60718100,14.96
2011-02-07,15.84,16.51,15.80,16.38,79955000,15.54
2011-01-31,16.56,16.64,15.10,15.72,174686200,14.91
2011-01-24,18.03,18.88,15.98,16.27,142855900,15.43
2011-01-18,18.66,18.77,17.35,17.95,67793300,17.03
2011-01-10,18.43,18.97,18.13,18.65,68848200,17.69
2011-01-03,17.02,18.42,16.96,18.27,96992600,17.33
2010-12-27,16.72,16.87,16.60,16.79,25629300,15.93
2010-12-20,16.85,17.03,16.63,16.78,33704200,15.92
2010-12-13,16.65,16.85,16.35,16.80,48677300,15.94
2010-12-06,16.66,16.92,16.35,16.73,62714300,15.87
2010-11-29,16.12,16.86,15.83,16.80,76784600,15.94
2010-11-22,16.26,16.54,15.62,16.10,71565700,15.27
2010-11-15,16.81,17.42,15.83,16.28,196551900,15.44
2010-11-08,16.36,16.71,15.88,16.30,117448900,15.46
2010-11-01,14.32,16.26,14.16,16.21,126347200,15.38
2010-10-25,14.05,14.47,13.92,14.13,95442400,13.40
2010-10-18,13.75,14.16,13.18,13.95,60727000,13.23
2010-10-11,13.72,14.04,13.51,13.80,59454500,13.09
2010-10-04,12.57,13.72,12.53,13.66,77672300,12.96
2010-09-27,12.57,12.60,12.12,12.26,42785600,11.63
2010-09-20,12.55,12.75,12.15,12.56,50319400,11.92
2010-09-13,11.93,12.54,11.76,12.49,68185500,11.85
2010-09-07,12.01,12.07,11.64,11.79,42418600,11.18
2010-08-30,11.58,12.14,11.13,12.07,57162500,11.45
2010-08-23,11.84,11.90,10.95,11.56,65567800,10.97
2010-08-16,11.96,12.38,11.60,11.77,57288600,11.17
2010-08-09,13.12,13.12,11.90,12.15,53424500,11.53
2010-08-02,13.06,13.24,12.77,13.04,71896300,12.37
2010-07-26,12.82,13.18,12.58,12.77,90169100,12.11
2010-07-19,11.44,12.75,11.23,12.72,86865900,12.07
2010-07-12,10.84,11.92,10.83,11.34,72650900,10.76
2010-07-06,10.42,10.94,10.04,10.85,66725100,10.29
2010-06-28,10.72,10.76,9.75,10.28,118136400,9.75
2010-06-21,11.68,11.80,10.42,10.75,89415000,10.20
2010-06-14,11.48,11.77,11.33,11.46,59347400,10.87
2010-06-07,11.45,11.50,10.89,11.40,69550200,10.81
2010-06-01,11.50,12.15,11.38,11.50,82823000,10.91
2010-05-24,11.29,12.08,10.42,11.73,109050600,11.13
2010-05-17,12.08,12.18,10.17,11.26,134752900,10.68
2010-05-10,12.54,12.87,11.85,12.11,113759300,11.49
2010-05-03,13.18,13.49,10.59,11.51,185262200,10.92
2010-04-26,14.39,14.57,12.90,13.02,176031400,12.35
2010-04-19,13.38,14.39,13.36,14.21,95420600,13.48
2010-04-12,12.72,13.92,12.64,13.42,116828800,12.73
2010-04-05,12.89,12.92,12.34,12.72,78278600,12.07
2010-03-29,13.70,13.88,12.42,12.63,236722800,11.98
2010-03-22,12.98,14.30,12.81,13.86,115730700,13.15
2010-03-15,13.46,14.54,13.04,13.29,158896500,12.61
2010-03-08,12.94,13.37,12.73,13.34,76746700,12.66
2010-03-01,11.81,13.04,11.75,13.00,138014800,12.33
2010-02-22,11.36,11.88,11.15,11.74,79273000,11.14
2010-02-16,11.21,11.52,11.11,11.29,57229300,10.71
2010-02-08,11.09,11.32,10.85,11.12,76643100,10.55
2010-02-01,11.14,11.66,10.49,10.91,120783200,10.35
2010-01-25,10.73,11.95,10.61,10.84,139604900,10.28
2010-01-19,11.51,11.83,10.41,10.52,105141200,9.98
2010-01-11,11.90,12.14,11.47,11.60,140166000,11.00
2010-01-04,10.17,11.74,10.05,11.69,147442200,11.09
2009-12-28,10.18,10.37,9.89,10.00,43188700,9.49
2009-12-21,9.77,10.20,9.63,10.13,48476600,9.61
2009-12-14,9.00,9.73,8.97,9.68,72523900,9.18
2009-12-07,8.90,9.10,8.76,9.00,55784000,8.54
2009-11-30,8.78,9.14,8.67,8.94,72807400,8.48
2009-11-23,8.84,8.91,8.40,8.73,44384400,8.28
2009-11-16,8.51,9.14,8.50,8.64,103780300,8.20
2009-11-09,7.78,8.45,7.75,8.41,120418000,7.98
2009-11-02,7.73,7.84,7.24,7.75,185465700,7.35
2009-10-26,7.70,7.84,6.81,7.00,78682800,6.64
2009-10-19,7.54,7.98,7.42,7.63,56770600,7.24
2009-10-12,7.19,7.88,7.16,7.42,79869000,7.04
2009-10-05,6.94,7.27,6.84,7.12,47204200,6.75
2009-09-28,7.36,7.50,6.61,6.84,69185400,6.49
2009-09-21,6.88,7.59,6.75,7.29,79591500,6.92
2009-09-14,7.30,7.44,6.85,6.94,69886700,6.58
2009-09-08,7.53,7.55,7.25,7.33,43952700,6.95
2009-08-31,7.60,7.77,6.87,7.43,68442300,7.05
2009-08-24,7.75,7.81,7.31,7.73,59688900,7.33
2009-08-17,7.51,7.83,7.13,7.74,56678800,7.34
