This file was created by CMPT_ME_BEME_RETS using the 201402 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 BE/ME portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
               Small                 Big         
          Low     2    High    Low     2    High 
192607   1.58   0.72  -0.03   5.79   1.91   2.06
192608  -0.59   2.69   5.44   2.75   2.68   5.72
192609  -2.28   0.15  -0.90   1.41   0.11  -0.57
192610  -3.58  -4.92  -1.76  -3.66  -2.31  -3.89
192611   2.84   3.54   2.14   3.22   2.88   3.15
192612   2.40   2.16   2.74   2.93   2.66   2.37
192701  -0.86  -0.41   4.53  -0.29   0.03   4.03
192702   3.05   7.33   7.05   5.14   3.51   7.66
192703  -1.78  -1.24  -2.76   1.68  -0.03  -2.57
192704  -1.08   0.12   3.76   3.16  -0.75  -0.36
192705   5.26   3.55  12.75   5.21   5.30   7.02
192706   0.12   0.09  -2.94  -0.74  -3.11  -2.06
192707   4.30   5.14   3.93   8.84   6.72   7.27
192708   2.29  -2.04   0.96   3.89   1.23  -1.96
192709   2.39   2.43   0.20   5.41   4.40   5.96
192710  -0.28  -2.17  -5.72  -4.02  -4.34  -6.62
192711  10.70   7.72   9.89   7.69   6.70   6.63
192712   5.21   2.85   2.24   3.42   1.83   3.48
192801   3.29   3.02   3.43  -0.69  -0.39  -2.31
192802  -4.97  -1.89  -4.11  -0.53  -1.18  -2.73
192803   7.26   8.91   9.40  11.99   6.12   7.83
192804   4.21  10.72  10.08   2.87   5.93   4.50
192805   7.23   2.44   1.98   3.00  -0.16   0.64
192806  -8.35  -8.37  -7.03  -3.81  -4.10  -5.42
192807  -0.87  -0.84  -0.27   1.22   0.14   0.73
192808   4.91   6.83   3.77   8.51   5.47   5.56
192809   4.20   3.86   6.19   3.33   2.04   4.18
192810   6.59   2.98   1.29   1.34   1.60   0.44
192811   6.62  10.56  12.30  11.45  13.45  11.89
192812   0.16  -1.33  -0.24   0.77   0.05   0.75
192901   1.48   2.14   1.44   6.05   5.13   1.65
192902  -0.32   1.45   1.50  -0.71   0.97   0.35
192903  -5.99  -3.24  -4.47  -1.51   2.26  -1.11
192904  -0.64   3.21   0.84   1.99   1.26   2.22
192905  -9.65  -9.22 -12.65  -6.63  -4.70  -0.92
192906   6.82   9.97   6.59  12.34   9.52   6.36
192907   0.26  -0.79   2.60   3.73   6.06   5.32
192908   0.03   0.06   0.15   6.99  12.54   5.49
192909  -3.54  -4.59  -3.66  -4.59  -5.01  -6.22
192910 -20.69 -18.95 -18.77 -24.25 -13.89 -10.26
192911 -16.14  -9.09 -12.63 -14.13 -10.92  -6.98
192912  -4.42  -2.38  -1.14   3.45   0.63   1.19
193001   7.80   8.72   8.15   7.10   3.21   2.81
193002   2.69   0.85   4.12   3.48   1.69   1.64
193003   8.54  11.51  10.40   7.18   8.23   5.19
193004  -6.67  -1.44  -5.32  -2.57  -2.00  -6.56
193005  -3.73  -1.99  -3.23   0.69  -2.12  -1.74
193006 -16.92 -15.74 -18.68 -17.91 -12.95 -12.29
193007   8.05   3.97   2.18   4.30   3.44   5.59
193008  -3.57  -1.86  -2.41   1.01  -0.57  -1.92
193009 -14.55 -14.69 -18.54 -12.58 -10.86 -17.53
193010 -10.52  -8.26 -10.59  -9.44  -7.29 -11.70
193011  -0.41  -2.77  -1.94  -1.84  -3.37  -6.63
193012 -10.71 -11.24 -17.89  -6.13  -8.93 -10.19
193101  10.34  10.99  16.00   4.72   7.71  13.96
193102  13.03  11.65  16.08  12.41   6.89  12.42
193103  -3.96  -2.79  -6.82  -4.86  -9.88  -8.85
193104 -13.04 -13.98 -17.51  -9.17 -11.16 -11.63
193105  -9.71  -8.53 -13.45 -11.32 -16.61 -20.25
193106  10.65   7.75  19.89  13.33  16.37  24.75
193107  -7.97  -9.31  -6.30  -5.13  -9.98 -12.45
193108  -2.01  -0.92  -3.63   0.92  -1.65  -0.15
193109 -27.36 -30.70 -33.70 -28.36 -27.66 -34.67
193110   4.65   8.82   5.37   9.38   3.29  10.61
193111  -6.39  -7.20  -9.58  -6.52 -16.25 -14.93
193112 -15.93 -16.40 -23.15 -11.46 -18.42 -21.06
193201   3.22   4.25  11.57  -3.49   2.07   7.62
193202   0.50   1.41   1.09   7.12   1.64   1.12
193203 -13.88  -9.96 -10.99 -10.02 -15.03 -15.13
193204 -20.77 -16.04 -15.82 -17.75 -20.44 -19.22
193205 -16.66 -23.47 -17.00 -19.37 -25.74 -27.26
193206  -0.28   4.99   1.45  -1.71  -0.17  10.65
193207  35.68  35.95  64.88  27.96  48.44  66.91
193208  54.39  53.50  80.81  30.66  50.68  62.70
193209  -3.44  -4.38 -12.85  -1.43  -6.13  -4.77
193210 -16.68 -19.61 -23.42 -10.65 -17.41 -23.35
193211  -1.89  -8.54 -13.31  -2.38  -8.94 -16.10
193212  -7.52  -4.40 -11.33   6.82   1.13  -4.38
193301   4.25   1.66   8.47   0.04   2.87   9.58
193302 -17.98 -18.53 -21.07 -14.81 -16.46 -17.32
193303   8.56   6.18  15.95   0.97   9.93   6.92
193304  43.31  55.47  56.06  32.70  51.70  57.40
193305  62.25  62.29  72.95  17.03  26.37  41.72
193306  32.34  21.81  18.89  11.37  15.45  21.91
193307 -12.04 -11.93  -7.42  -8.84 -12.97  -9.29
193308  14.09  10.14   7.99  10.52  15.97  18.45
193309  -7.43 -13.44 -21.24  -9.07 -11.99 -20.31
193310  -9.14 -12.48 -14.00  -6.16 -10.56 -17.94
193311   4.78   4.66   6.03   9.65  12.35  12.53
193312   5.27   2.71  -0.13   2.12   2.10   3.25
193401  20.07  29.53  38.52  10.01  16.39  25.26
193402  -2.15   0.74   5.83  -2.30  -3.25  -3.45
193403   4.71   1.84  -0.68  -0.08   0.08  -1.21
193404   3.03  -1.35  -2.58  -1.83  -2.19  -4.89
193405  -9.00  -9.85 -12.21  -6.28  -8.34 -14.31
193406   3.48  -0.25  -2.53   2.64   2.39   3.30
193407 -19.07 -20.49 -24.51  -8.40 -11.83 -23.19
193408  12.18   9.13  11.20   6.32   4.40   5.74
193409  -1.78   0.37  -3.42  -0.20  -0.22  -0.06
193410  -0.91  -1.32  -3.97  -0.56  -2.72  -7.53
193411  19.43  15.25  12.89  10.27   5.09  10.85
193412   3.80   1.85   1.94   0.78   0.49  -2.24
193501  -6.27  -3.28  -3.25  -2.94  -2.92  -9.17
193502  -5.28  -3.81  -6.07  -0.75  -1.73 -13.12
193503  -5.67  -7.59 -11.14  -2.93  -3.35  -7.93
193504   7.03   8.54  10.46   7.94   9.89  13.10
193505  -1.62   1.43   1.69   3.12   4.41   4.04
193506  -2.05   6.44   0.61   6.24   5.62   8.09
193507  10.02  13.15  13.20   6.99   6.31  17.17
193508   3.69   9.27  15.48   2.42   2.24   3.33
193509   5.50   5.33  -1.48   4.55   0.68   1.77
193510  11.05  10.98   8.08   6.52   8.05   5.61
193511   6.09  10.23  19.25   3.00   5.53  14.61
193512   6.57   9.86   2.41   3.15   5.82   8.71
193601  10.68   8.72  22.58   3.07   9.54  12.07
193602   2.93   6.14   5.46   1.92   2.82   7.54
193603   0.20   2.96   1.30   2.61   0.18  -1.50
193604 -14.22 -13.90 -15.64  -6.81  -8.35 -10.25
193605   5.10   5.04   8.94   5.03   5.16   6.50
193606  -2.41   0.85  -1.03   3.55   2.07   0.22
193607  10.53   7.79  10.36   5.92   6.23  12.10
193608   0.45   2.43   4.36   0.31   0.74   4.37
193609   3.10   4.52   4.30   0.93   1.10   0.43
193610   4.20   6.22   6.71   6.41   8.84   8.63
193611  11.50   8.83  12.16   3.39   3.15  -0.54
193612   1.79   3.61   5.87  -1.85   2.39   1.31
193701   7.41   7.10   9.63   3.60   1.38   6.42
193702   3.53   1.67   7.16  -0.23   0.82   6.85
193703  -3.65   0.31   0.99  -1.71  -0.20   6.32
193704  -9.21 -11.69 -13.46  -6.81  -6.11 -10.77
193705   0.16  -0.94  -4.76   0.20  -0.74  -2.92
193706  -7.17  -7.55 -10.47  -4.17  -2.75  -7.42
193707  11.21   9.53  10.31   8.91   8.09  11.00
193708  -4.56  -5.41  -5.45  -4.12  -4.63  -7.92
193709 -20.65 -20.91 -23.06 -12.33 -12.74 -18.38
193710 -11.17  -9.68  -9.82 -10.22  -7.59 -14.35
193711 -11.84 -12.11 -11.50  -8.67  -7.59  -8.58
193712 -13.86 -10.64 -12.42  -3.72  -3.07  -7.23
193801   5.11   6.63   3.45   1.11  -0.10  -0.64
193802   8.70   5.78   4.44   6.12   5.67   5.85
193803 -30.17 -28.63 -29.96 -23.36 -22.50 -30.30
193804  22.01  20.68  20.50  13.24  14.44  15.74
193805  -7.41  -7.84  -5.90  -3.58  -3.72  -5.37
193806  31.57  29.56  28.44  25.70  20.87  29.51
193807  13.57  14.54  14.48   6.82   7.46   8.55
193808  -5.09  -5.24  -9.28  -0.44  -6.13  -5.13
193809  -2.19  -2.29  -2.67   1.37   0.48  -0.48
193810  14.55  15.08  16.55   6.76   6.96  14.96
193811  -5.28  -2.14  -6.37  -1.08  -2.15  -3.23
193812   6.09   3.99   1.65   3.41   4.44   8.31
