Date,Open,High,Low,Close,Volume,Adj Close
3/1/2011,15.93,15.93,14.06,14.11,25712500,14.11
2/1/2011,13.24,15.89,13.19,15.83,27306800,15.83
1/3/2011,13.64,14.46,12.99,13.16,19540000,13.16
12/1/2010,13.47,14.02,13.2,13.55,18745200,13.55
11/1/2010,14.54,14.7,13.12,13.22,24575400,13.22
10/1/2010,12.96,14.89,12.77,14.4,23963700,14.4
9/1/2010,11.92,13.17,11.79,12.97,26593500,12.97
8/2/2010,13.42,13.68,11.34,11.77,26701400,11.77
7/1/2010,12.21,13.95,11.72,13.24,21192300,13.24
6/1/2010,13.23,14.28,12,12.06,32606800,12.06
5/3/2010,16.28,16.46,12.84,13.33,35213000,13.33
4/1/2010,15.02,17.52,14.92,16.2,30010100,16.2
3/1/2010,13.35,15.25,13.28,15.02,25643200,15.02
2/1/2010,12.99,14.48,12.92,13.24,30499200,13.24
1/4/2010,14.5,15.2,12.75,12.9,26866200,12.9
12/1/2009,14.13,14.81,12.74,14.36,29521800,14.36
11/2/2009,14.41,16.1,13.96,14.12,24568700,14.12
10/1/2009,15.24,16.2,14.36,14.45,23215200,14.45
9/1/2009,15.72,17.13,15.05,15.26,26545400,15.26
8/3/2009,13.52,17.26,13.07,15.83,29545800,15.83
7/1/2009,13.76,14.24,11.84,13.38,38113900,13.38
6/1/2009,11.7,13.96,11.45,13.73,26601100,13.73
5/1/2009,11.63,12.32,10.39,11.57,31803100,11.57
4/1/2009,9.33,12.05,9.22,11.62,29867400,11.62
3/2/2009,8.53,10.86,8,9.48,31953100,9.48
2/2/2009,9.38,10.12,7.84,8.53,37646600,8.53
1/2/2009,10.31,11.43,9.45,9.5,27315100,9.5
12/1/2008,10.94,12.29,9.74,10.24,19880400,10.24
11/3/2008,12.25,13.32,8.72,11.17,30537600,11.17
10/1/2008,16.22,16.6,10.59,12.2,34928700,12.2
9/2/2008,21.91,21.98,14.5,16.48,43861400,16.48
8/1/2008,24.65,26.04,21.72,21.73,31414600,21.73
7/1/2008,21.56,25.26,21.44,24.57,27446800,24.57
6/2/2008,22.99,24.66,21.87,21.88,30084700,21.88
5/1/2008,18.69,23.95,18.66,23.06,31056400,23.06
4/1/2008,20.28,20.34,18.13,18.63,27171900,18.63
3/3/2008,19.84,20.81,18.91,19.92,25594400,19.92
2/1/2008,20.12,21.18,18.87,19.9,34829400,19.9
1/2/2008,24.36,24.65,18.87,20.04,41249200,20.04
12/3/2007,24.6,25.38,23.15,24.51,29946700,24.51
11/1/2007,30.28,30.54,23.92,24.54,33299900,24.54
10/1/2007,27.6,30.77,27.14,30.6,21391300,30.6
9/4/2007,28.2,28.77,26.21,27.6,20670600,27.6
8/1/2007,27.64,29.12,24.96,28.25,25917000,28.25
7/2/2007,28.81,29.61,27.2,27.97,20825900,27.97
6/1/2007,27.98,28.86,26.74,28.55,20841000,28.55
5/1/2007,25.21,26.97,24.64,26.91,19902000,26.91
4/2/2007,23.09,25.87,22.86,25.21,19055400,25.21
3/1/2007,22.51,23.88,21.61,23.21,26980800,23.21
2/1/2007,25.36,25.51,22.51,22.85,26583800,22.85
1/3/2007,25.35,27.48,23.57,24.22,23143900,24.22
12/1/2006,27.08,27.58,25.04,25.09,17442100,25.09
11/1/2006,24.38,27.89,23.82,27.24,29632300,27.24
10/2/2006,22.7,24.95,22.48,24.33,22492400,24.33
9/1/2006,22.8,23.1,20.52,22.84,23903800,22.84
8/1/2006,21.44,23.35,20.65,22.55,25874800,22.55
7/3/2006,24.55,24.68,18.95,21.68,31552500,21.68
6/1/2006,25.32,26.08,23.53,24.46,22109800,24.46
5/1/2006,26.29,26.8,23.6,25.38,30382600,25.38
4/3/2006,29.92,30.25,25.7,26.2,30782000,26.2
3/1/2006,29.07,30.8,28.6,29.76,19445200,29.76
2/1/2006,29.23,32.24,28.69,29,28629600,29
1/3/2006,30.01,31.51,28.94,29.31,22128200,29.31
12/1/2005,30.36,33.22,29.84,29.95,20143300,29.95
11/1/2005,29.89,30.99,28.62,30.15,29020400,30.15
10/3/2005,34.11,34.27,30.82,31.88,21230600,31.88
9/1/2005,35.38,35.68,33.24,34.2,17686300,34.2
8/1/2005,40.62,41.02,35.03,35.6,22251600,35.6
7/1/2005,39.62,41.99,39.02,40.47,11021700,40.47
6/1/2005,39.81,41.22,39.06,39.46,14048000,39.46
5/2/2005,34.87,40.56,34.83,39.93,17925500,39.93
4/1/2005,38.53,39.16,34.4,34.83,18913200,34.83
