Date,Open,High,Low,Close,Volume,Adj Close
2011-03-01,163.15,167.72,151.71,154.18,6583400,154.18
2011-02-01,162.11,166.25,159.03,161.88,4938900,161.88
2011-01-03,147.21,164.35,146.64,162.00,6301400,161.36
2010-12-01,143.61,147.50,143.51,146.76,4380100,146.18
2010-11-01,143.64,147.53,141.18,141.46,5322400,140.90
2010-10-01,135.51,144.00,134.39,143.60,6939200,142.40
2010-09-01,125.31,136.11,124.52,134.14,5834200,133.02
2010-08-02,129.25,132.49,122.28,123.13,5591700,122.10
2010-07-01,123.55,131.60,120.61,128.40,7147600,126.70
2010-06-01,124.69,131.94,122.82,123.48,7728900,121.85
2010-05-03,129.39,133.10,116.00,125.26,9793300,123.60
2010-04-01,128.95,132.28,127.12,129.00,7271100,126.64
2010-03-01,127.50,130.73,125.20,128.25,6300000,125.91
2010-02-01,123.23,128.27,121.61,127.16,6210200,124.84
2010-01-04,131.18,134.25,121.90,122.39,8825300,119.62
2009-12-01,127.29,132.85,126.00,130.90,5849900,127.94
2009-11-02,120.77,128.94,119.50,126.35,5852500,123.49
2009-10-01,119.39,128.61,117.26,120.61,8692800,117.35
2009-09-01,117.67,122.88,115.15,119.61,6631200,116.38
2009-08-03,118.88,120.88,116.12,118.05,5615200,114.86
2009-07-01,105.00,119.37,99.50,117.93,8250000,114.21
2009-06-01,106.94,110.64,103.51,104.42,7637000,101.13
2009-05-01,103.78,106.82,99.83,106.28,7997800,102.93
2009-04-01,96.13,106.05,95.70,103.21,10679800,99.44
2009-03-02,91.17,99.86,83.02,96.89,13666700,93.35
2009-02-02,90.60,97.10,82.85,92.03,12859400,88.67
2009-01-02,83.89,94.94,81.76,91.65,10928800,87.82
2008-12-01,80.95,87.27,75.31,84.16,8886900,80.64
2008-11-03,92.64,94.76,69.50,81.60,11695800,78.19
2008-10-01,115.51,116.80,78.82,92.97,14151200,88.59
2008-09-02,122.87,124.00,109.95,116.96,11304900,111.45
2008-08-01,128.52,129.97,121.50,121.73,6865900,116.00
2008-07-01,117.50,130.93,116.60,127.98,9396900,121.48
2008-06-02,128.49,129.37,118.15,118.53,7654600,112.51
2008-05-01,121.06,129.99,120.78,129.43,8008100,122.86
2008-04-01,115.20,125.00,113.86,120.70,9100700,114.10
2008-03-03,113.86,119.79,111.80,115.14,9449500,108.85
2008-02-01,107.16,116.63,100.60,113.86,8837700,107.64
2008-01-02,108.99,108.99,97.04,107.11,12218000,100.87
2007-12-03,105.55,112.19,104.00,108.10,6994100,101.80
2007-11-01,115.50,116.09,99.27,105.18,10181900,99.05
2007-10-01,117.61,121.46,110.96,116.12,7777600,108.97
2007-09-04,116.34,118.89,114.30,117.80,7366000,110.54
2007-08-01,110.39,117.35,103.70,116.69,9118400,109.50
2007-07-02,105.39,118.82,104.58,110.65,10979700,103.47
2007-06-01,106.62,107.24,101.56,105.25,8410400,98.42
2007-05-01,102.06,108.05,101.35,106.60,6888100,99.68
2007-04-02,94.51,103.00,93.91,102.21,8842800,95.21
2007-03-01,90.25,95.81,88.77,94.26,7765100,87.80
2007-02-01,98.97,100.44,92.47,92.94,7261400,86.57
2007-01-03,97.18,100.90,94.55,99.15,9961100,92.08
2006-12-01,91.90,97.88,90.55,97.15,5446300,90.22
2006-11-01,92.50,94.05,90.43,91.92,5280900,85.36
2006-10-02,81.76,92.68,81.56,92.33,8165200,85.47
2006-09-01,81.13,83.79,79.31,81.94,5377300,75.85
2006-08-01,76.65,81.68,75.05,80.97,4550700,74.95
2006-07-03,77.54,78.53,72.73,77.41,7128500,71.37
2006-06-01,79.89,80.87,76.06,76.82,6698600,70.83
2006-05-01,82.59,83.69,79.06,79.90,5433200,73.67
2006-04-03,82.72,84.45,80.63,82.34,6432000,75.64
2006-03-01,80.20,84.99,79.51,82.47,5103300,75.76
2006-02-01,80.90,82.24,78.93,80.24,6158500,73.71
2006-01-03,82.45,85.03,80.21,81.30,7663100,74.50
2005-12-01,89.15,89.92,81.56,82.20,5976200,75.33
2005-11-01,81.85,89.94,80.64,88.90,5556400,81.47
2005-10-03,80.22,84.60,78.70,81.88,7019600,74.85
2005-09-01,80.16,82.11,76.93,80.22,5772200,73.34
2005-08-01,83.00,84.20,79.87,80.62,4801300,73.70
2005-07-01,74.30,85.11,74.16,83.46,8056500,76.11
2005-06-01,75.57,77.73,73.45,74.20,6439500,67.67
2005-05-02,76.88,78.11,72.50,75.55,6896900,68.90
2005-04-01,91.49,91.76,71.85,76.38,10709200,69.47
2005-03-01,92.64,93.73,89.09,91.38,5025600,83.12
2005-02-01,93.67,94.97,91.55,92.58,4455600,84.21
2005-01-03,98.97,99.10,91.44,93.42,5960900,84.81
2004-12-01,94.50,99.00,94.47,98.58,5043800,89.50
2004-11-01,89.33,96.63,89.23,94.24,5754800,85.56
2004-10-01,85.95,90.27,84.29,89.75,5839700,81.32
2004-09-01,84.05,87.28,83.24,85.74,4719200,77.69
2004-08-02,86.87,87.39,81.90,84.69,4298600,76.74
2004-07-01,88.28,88.44,83.42,87.07,5929000,78.73
2004-06-01,88.00,91.21,87.30,88.15,4604400,79.70
2004-05-03,88.13,89.75,85.12,88.59,5395500,80.10
2004-04-01,91.67,94.55,88.01,88.17,5507200,79.56
2004-03-01,96.50,97.60,90.28,91.84,5612900,82.87
2004-02-02,99.15,100.43,95.20,96.50,5392400,87.08
2004-01-02,92.86,99.85,89.01,99.23,7275300,89.39
2003-12-01,90.90,94.12,90.03,92.68,5492200,83.49
2003-11-03,89.90,91.48,87.72,90.54,5271600,81.57
2003-10-01,88.75,94.54,87.53,89.48,6999200,80.47
2003-09-02,82.40,93.47,82.30,88.33,8523800,79.43
2003-08-01,81.15,84.72,78.73,82.01,5624600,73.75
2003-07-01,81.40,87.03,80.58,81.25,7362000,72.92
2003-06-02,89.00,89.08,79.81,82.50,9163700,74.04
2003-05-01,85.30,90.40,84.45,88.04,7415800,79.01
2003-04-01,78.50,86.49,78.12,84.90,8872300,76.05
2003-03-03,78.90,84.90,73.17,78.43,9624100,70.26
2003-02-03,78.20,80.05,74.31,77.95,8013500,69.83
2003-01-02,78.80,88.95,77.02,78.20,9698900,69.92
2002-12-02,88.60,89.46,75.60,77.50,7592100,69.29
2002-11-01,78.90,88.11,76.70,86.92,9370900,77.71
2002-10-01,59.20,79.79,54.01,78.94,12847400,70.45
2002-09-03,74.20,77.50,57.99,58.31,9934200,52.04
2002-08-01,70.40,82.85,65.85,75.38,7787400,67.27
2002-07-01,72.01,74.20,65.70,70.40,11771600,62.69
2002-06-03,80.75,80.95,66.10,72.00,10096300,64.11
2002-05-01,83.85,86.49,75.92,80.45,8084700,71.64
2002-04-01,104.00,104.00,83.34,83.76,11608500,74.44
2002-03-01,98.60,108.85,98.50,104.00,7830800,92.43
2002-02-01,107.64,109.30,95.76,98.12,9487300,87.20
2002-01-02,120.60,126.39,101.00,107.89,9687600,95.76
2001-12-03,114.80,124.70,113.21,120.96,6845300,107.36
2001-11-01,107.25,117.00,106.90,115.59,6701600,102.59
2001-10-01,91.72,112.10,91.34,108.07,10066400,95.80
2001-09-04,100.15,103.13,87.49,91.72,13359300,81.31
2001-08-01,105.35,110.09,98.86,99.95,6588100,88.60
2001-07-02,113.50,115.40,101.56,105.21,7934200,93.14
2001-06-01,112.50,119.00,111.10,113.50,7257400,100.48
2001-05-01,115.85,119.90,110.96,111.80,7549100,98.97
2001-04-02,97.45,118.05,90.05,115.14,11678400,101.81
2001-03-01,99.30,108.40,87.65,96.18,12000500,85.04
2001-02-01,112.40,118.64,99.10,99.90,8861600,88.33
2001-01-02,84.50,116.75,83.75,112.00,9870300,98.92
2000-12-01,94.44,104.75,80.06,85.00,8736700,75.07
2000-11-01,98.44,104.37,91.62,93.50,6717300,82.58
2000-10-02,112.62,119.62,86.94,98.50,10655100,86.89
2000-09-01,133.06,134.94,110.25,112.62,5853100,99.34
2000-08-01,112.00,134.25,110.25,132.02,5542000,116.45
2000-07-03,108.75,117.81,100.00,112.25,7762100,98.90
2000-06-01,107.56,122.31,105.50,109.56,6583100,96.53
2000-05-01,112.50,113.62,102.00,107.31,5797000,94.55
2000-04-03,120.00,128.00,101.25,111.50,9123800,98.12
2000-03-01,102.00,128.25,99.50,118.37,8797500,104.17
2000-02-01,112.37,119.75,100.94,102.75,7200400,90.42
2000-01-03,112.44,124.75,109.62,112.25,9073100,98.68
1999-12-01,102.56,122.12,102.25,107.87,7340700,94.83
1999-11-01,98.50,109.87,90.00,103.06,10521000,90.60
1999-10-01,121.00,123.25,89.00,98.25,15065500,86.26
1999-09-01,125.62,137.69,119.62,121.00,7378000,106.23
1999-08-02,124.00,129.63,117.56,124.56,6112500,109.36
1999-07-01,130.00,139.19,122.62,125.69,6526800,110.24
1999-06-01,113.62,132.00,109.44,129.25,6333300,113.36
1999-05-03,208.00,246.00,112.62,116.00,10931300,101.74
1999-04-01,177.31,215.25,163.00,209.19,13162000,91.64
1999-03-01,169.50,185.94,164.00,177.25,10284200,77.64
1999-02-01,184.50,184.50,161.75,169.75,11467100,74.36
1999-01-04,185.00,199.25,173.50,183.25,13515800,80.17
1998-12-01,163.50,189.94,162.25,184.38,6631400,80.66
