Date,Open,High,Low,Close,Volume,Adj Close
2011-03-01,61.25,61.50,57.50,58.13,12850900,58.13
2011-02-01,59.70,61.45,59.36,61.44,11577000,61.44
2011-01-03,62.63,63.54,59.69,59.77,13815400,59.23
2010-12-01,62.18,63.16,61.56,61.85,9869700,61.30
2010-11-01,63.88,64.92,61.25,61.55,11144100,61.00
2010-10-01,62.09,64.23,61.30,63.74,10382400,62.63
2010-09-01,57.67,62.70,57.44,61.96,10575400,60.88
2010-08-02,58.50,60.25,56.99,57.02,11543000,56.03
2010-07-01,59.07,61.73,56.86,58.09,15413600,56.54
2010-06-01,58.21,60.15,57.55,59.06,16961100,57.49
2010-05-03,65.16,65.62,58.19,58.30,19229500,56.75
2010-04-01,65.37,66.20,64.21,64.30,11910300,62.02
2010-03-01,63.27,65.49,63.02,65.20,11386100,62.89
2010-02-01,63.26,64.70,61.89,63.00,11721000,60.77
2010-01-04,64.71,65.95,62.22,62.86,13840500,60.17
2009-12-01,62.95,65.41,62.95,64.41,9965800,61.66
2009-11-02,59.15,63.44,58.80,62.84,12211600,60.15
2009-10-01,60.93,62.74,58.78,59.05,13693800,56.08
2009-09-01,60.35,61.54,59.28,60.89,9928500,57.83
2009-08-03,61.16,61.49,59.50,60.44,10573800,57.40
2009-07-01,56.82,62.47,55.71,60.89,12890300,57.37
2009-06-01,55.75,57.23,54.54,56.80,14441400,53.51
2009-05-01,52.53,56.48,51.67,55.16,13488300,51.97
2009-04-01,52.30,54.13,50.12,52.36,15542900,48.90
2009-03-02,49.03,53.70,46.25,52.60,20083500,49.12
2009-02-02,57.25,59.13,49.94,50.00,17801100,46.69
2009-01-02,60.13,61.00,55.09,57.69,18162400,53.43
2008-12-01,57.66,60.25,54.95,59.83,14868800,55.41
2008-11-03,61.49,63.01,54.49,58.58,20175800,54.26
2008-10-01,69.07,69.07,52.06,61.34,28704800,56.34
2008-09-02,71.09,72.76,66.90,69.28,18434600,63.64
2008-08-01,68.50,71.90,67.93,70.43,11163400,64.69
2008-07-01,63.75,69.25,63.74,68.47,14655400,62.49
2008-06-02,66.55,67.10,63.10,64.34,11466800,58.72
2008-05-01,67.13,68.32,64.54,66.74,10997900,60.91
2008-04-01,65.13,67.74,64.51,67.09,10684100,60.80
2008-03-03,62.00,65.81,61.17,64.87,14414500,58.79
2008-02-01,63.35,64.07,61.36,61.96,11547600,56.15
2008-01-02,66.56,68.85,61.72,63.14,17202500,56.84
2007-12-03,67.62,68.50,66.55,66.70,10284200,60.05
2007-11-01,64.80,68.75,63.73,67.74,14358000,60.98
2007-10-01,65.66,66.80,63.55,65.17,10584000,58.31
2007-09-04,61.63,65.75,61.26,65.70,12074400,58.78
2007-08-01,60.51,62.98,60.31,61.79,14975300,55.28
2007-07-02,61.94,63.88,59.72,60.50,14868200,53.77
2007-06-01,63.35,63.77,60.73,61.62,12951700,54.76
2007-05-01,64.53,64.94,61.65,63.27,13292500,56.23
2007-04-02,60.26,65.45,60.03,64.22,13144300,56.70
2007-03-01,62.35,62.93,59.87,60.26,15064600,53.21
2007-02-01,66.80,67.15,62.72,62.93,11003400,55.56
2007-01-03,66.13,68.22,65.90,66.80,9188300,58.64
2006-12-01,65.91,67.25,65.29,66.02,8170400,57.95
2006-11-01,67.38,69.03,65.22,65.91,9708100,57.86
2006-10-02,65.00,69.41,64.50,67.40,9157300,58.83
2006-09-01,64.87,65.04,63.25,64.94,6809600,56.69
2006-08-01,62.38,65.13,62.29,64.66,6743000,56.44
2006-07-03,60.13,63.00,59.68,62.55,7101400,54.28
2006-06-01,60.25,62.00,58.97,59.92,9531300,52.00
2006-05-01,58.71,60.93,58.19,60.22,9312000,52.26
2006-04-03,59.49,59.76,57.32,58.61,9458100,50.55
2006-03-01,57.62,61.10,57.45,59.22,8300200,51.08
2006-02-01,57.67,59.71,56.70,57.65,10120200,49.72
2006-01-03,61.07,63.10,57.45,57.54,12062900,49.35
2005-12-01,61.85,62.06,59.76,60.10,9291900,51.54
2005-11-01,62.48,63.78,60.00,61.75,11850700,52.96
2005-10-03,63.18,64.60,60.53,62.62,11139300,53.43
2005-09-01,63.18,65.33,62.85,63.28,6909100,53.99
2005-08-01,64.25,65.35,61.65,63.39,6349400,54.08
2005-07-01,64.82,65.43,62.67,63.96,7802500,54.29
2005-06-01,67.10,67.61,64.43,65.00,7791300,55.17
2005-05-02,68.68,68.87,66.76,67.10,6294600,56.95
2005-04-01,67.32,69.99,66.65,68.63,7865400,57.97
2005-03-01,66.47,68.68,66.12,67.16,7756800,56.73
2005-02-01,64.61,66.89,64.52,65.60,6020500,55.41
2005-01-03,63.35,64.98,61.20,64.70,7118000,54.41
