Date,Open,High,Low,Close,Volume,Adj Close
2011-03-01,21.12,21.17,18.60,19.22,80426800,19.22
2011-02-01,20.38,21.65,20.08,20.92,52895600,20.92
2011-01-03,18.49,20.74,18.12,20.14,76413100,20.00
2010-12-01,16.03,18.49,16.03,18.29,57131500,18.16
2010-11-01,16.09,16.86,15.63,15.83,55387200,15.60
2010-10-01,16.40,17.49,15.88,16.02,64676100,15.79
2010-09-01,14.73,16.70,14.60,16.25,60450700,16.01
2010-08-02,16.32,16.54,14.25,14.48,60617900,14.16
2010-07-01,14.33,16.57,13.75,16.12,75597900,15.77
2010-06-01,16.24,16.51,14.27,14.42,83717300,14.10
2010-05-03,18.97,19.34,15.15,16.35,106550400,15.89
2010-04-01,18.27,19.70,18.18,18.86,82505100,18.33
2010-03-01,16.10,18.94,15.83,18.20,93006300,17.69
2010-02-01,16.20,17.03,15.25,16.06,77313200,15.61
2010-01-04,15.22,16.92,15.15,16.08,88647000,15.53
2009-12-01,16.27,16.49,15.13,15.13,62454500,14.61
2009-11-02,14.30,16.25,14.15,16.02,80429200,15.37
2009-10-01,16.31,16.87,14.15,14.26,103007100,13.69
2009-09-01,13.74,17.52,13.03,16.42,132466400,15.76
2009-08-03,13.65,14.88,13.16,13.90,86516200,13.26
2009-07-01,11.76,13.45,10.50,13.40,100768400,12.78
2009-06-01,13.82,13.99,11.25,11.72,87259400,11.18
2009-05-01,12.74,14.55,12.22,13.48,104569000,12.76
2009-04-01,9.91,12.81,9.80,12.65,133547800,11.97
2009-03-02,8.29,11.35,5.87,10.11,277426300,9.57
2009-02-02,12.03,12.90,8.40,8.51,194928800,8.05
2009-01-02,16.51,17.24,11.87,12.13,117846700,11.15
2008-12-01,16.36,19.30,15.35,16.20,98683700,14.89
2008-11-03,19.78,21.04,12.58,17.17,134841700,15.49
2008-10-01,24.00,25.75,17.27,19.51,164650600,17.60
2008-09-02,28.54,29.28,22.16,25.50,105769100,23.00
2008-08-01,28.43,30.39,27.76,28.10,43604700,25.01
2008-07-01,26.42,29.89,25.60,28.29,69943000,25.18
2008-06-02,30.75,31.14,26.15,26.69,75216900,23.75
2008-05-01,32.80,33.62,30.21,30.72,52851400,27.04
2008-04-01,37.36,38.52,31.55,32.70,64485500,28.78
2008-03-03,33.34,37.74,31.65,37.01,59927700,32.57
2008-02-01,35.59,36.30,33.09,33.14,44926300,29.17
2008-01-02,37.10,37.45,32.92,35.36,55123800,30.84
2007-12-03,38.20,38.20,36.07,37.07,42936400,32.33
2007-11-01,40.89,40.98,36.52,38.29,45181800,33.11
2007-10-01,41.28,42.15,39.40,41.16,32919400,35.60
2007-09-04,38.84,42.07,38.45,41.40,37426500,35.80
2007-08-01,38.60,40.46,36.20,38.87,46947200,33.39
2007-07-02,38.42,40.98,37.73,38.76,43667100,33.30
2007-06-01,37.68,39.77,36.65,38.28,43860200,32.88
2007-05-01,36.82,37.81,36.45,37.58,31562900,32.05
2007-04-02,35.36,37.24,34.55,36.86,41666000,31.44
2007-03-01,34.61,36.00,33.90,35.36,37497700,30.16
2007-02-01,36.18,36.50,34.50,34.91,34598700,29.77
2007-01-03,37.41,38.28,35.76,36.05,34343900,30.51
2006-12-01,35.38,38.49,34.96,37.21,33604700,31.49
2006-11-01,35.20,36.28,34.62,35.28,23114100,29.64
2006-10-02,35.40,36.48,34.92,35.11,26500400,29.49
2006-09-01,34.18,35.65,33.76,35.30,24034200,29.65
2006-08-01,32.65,34.44,32.20,34.06,18494400,28.41
2006-07-03,33.10,33.62,32.06,32.69,24910500,27.26
2006-06-01,34.30,34.92,32.78,32.96,27849600,27.49
2006-05-01,34.64,35.24,33.70,34.26,24209600,28.36
2006-04-03,34.79,34.99,33.07,34.59,26428700,28.63
2006-03-01,32.97,35.00,32.58,34.78,26519300,28.79
2006-02-01,32.66,33.75,32.21,32.87,26951100,27.21
2006-01-03,35.10,35.63,32.63,32.75,34947000,26.91
2005-12-01,35.85,36.26,34.95,35.05,22568500,28.80
2005-11-01,33.97,36.34,33.51,35.72,22225800,29.14
2005-10-03,33.60,34.50,32.67,33.91,23636600,27.67
2005-09-01,33.43,34.58,33.00,33.67,22843400,27.47
2005-08-01,34.57,34.62,32.85,33.61,19156900,27.24
2005-07-01,34.85,35.78,33.93,34.50,22692600,27.96
2005-06-01,36.48,37.13,34.15,34.65,24312400,28.08
2005-05-02,36.08,37.34,35.56,36.48,17054700,29.39
2005-04-01,36.18,36.60,35.02,36.20,21540700,29.16
2005-03-01,35.27,36.48,35.06,36.06,18737000,29.05
2005-02-01,36.00,36.61,35.05,35.20,17348000,28.35
2005-01-03,36.71,36.89,34.95,36.13,19883000,28.92
2004-12-01,35.36,37.75,35.27,36.50,18800400,29.22
2004-11-01,34.10,36.86,33.81,35.36,18420700,28.14
2004-10-01,33.70,34.40,32.65,34.12,16090400,27.15
2004-09-01,32.79,34.53,32.62,33.58,18122500,26.72
2004-08-02,32.65,33.35,31.42,32.79,15559200,25.94
2004-07-01,32.40,33.62,31.50,33.25,22230200,26.30
2004-06-01,31.00,33.49,30.82,32.40,28805300,25.63
2004-05-03,30.12,31.47,29.55,31.12,20702700,24.47
2004-04-01,30.42,31.85,29.80,29.95,32068200,23.55
2004-03-01,32.69,33.48,28.88,30.52,40261200,24.00
2004-02-02,33.69,33.99,32.35,32.52,18725500,25.57
2004-01-02,31.00,34.57,30.92,33.63,23093800,26.28
2003-12-01,29.20,31.29,28.78,30.98,20243900,24.21
2003-11-03,29.05,29.95,27.37,28.67,22067400,22.26
2003-10-01,29.81,31.30,28.00,29.01,21493200,22.53
2003-09-02,29.75,32.42,29.31,29.81,21533800,23.15
2003-08-01,28.20,30.39,27.18,29.57,16648400,22.82
2003-07-01,28.48,29.50,26.90,28.44,22288900,21.95
2003-06-02,29.42,31.66,28.53,28.68,20550900,22.13
2003-05-01,29.45,29.45,27.35,28.70,19460600,22.00
2003-04-01,25.55,29.78,25.50,29.45,21207800,22.58
2003-03-03,24.20,28.00,23.16,25.50,26107100,19.55
2003-02-03,23.35,24.20,21.30,24.05,23505800,18.44
2003-01-02,24.65,26.26,22.45,23.14,23240300,17.60
2002-12-02,27.98,27.98,24.10,24.35,20521100,18.52
2002-11-01,25.28,27.40,23.20,27.12,28840700,20.47
2002-10-01,24.75,27.21,21.40,25.25,34091600,19.06
2002-09-03,29.50,29.70,23.51,24.65,31835500,18.61
2002-08-01,32.10,32.98,28.27,30.15,26539000,22.60
2002-07-01,29.06,32.20,23.02,32.20,39648900,24.14
2002-06-03,31.14,31.40,27.42,29.05,29971600,21.78
2002-05-01,31.75,33.45,30.40,31.14,23783100,23.20
2002-04-01,37.05,37.80,30.15,31.55,31131400,23.50
2002-03-01,39.10,41.84,36.83,37.40,25796800,27.86
2002-02-01,36.90,39.65,34.72,38.50,25112400,28.68
2002-01-02,40.30,41.34,34.49,37.15,24680100,27.55
2001-12-03,38.40,41.39,36.21,40.08,23080100,29.72
2001-11-01,36.25,41.78,36.05,38.50,16974400,28.42
2001-10-01,37.30,39.49,36.04,36.41,19544800,26.88
2001-09-04,40.90,42.17,28.50,37.20,42638800,27.46
2001-08-01,43.00,43.53,39.84,40.90,16831300,30.06
2001-07-02,48.92,50.20,42.99,43.50,20559200,31.97
2001-06-01,48.99,52.61,46.26,49.00,29526100,35.89
2001-05-01,48.05,53.55,47.51,49.00,16915500,35.89
2001-04-02,41.52,50.01,39.04,48.53,22337500,35.55
2001-03-01,45.50,46.60,36.42,41.86,30658800,30.66
2001-02-01,46.50,48.45,45.02,46.50,20455600,33.94
2001-01-02,46.75,48.75,42.63,45.98,24345500,33.56
2000-12-01,50.88,56.19,47.19,47.94,17054700,34.99
2000-11-01,54.75,55.25,47.94,49.56,14524300,36.06
2000-10-02,58.00,59.94,49.00,54.81,20282300,39.88
2000-09-01,59.25,60.06,55.00,57.81,12225400,42.06
2000-08-01,51.94,60.50,51.19,58.63,11558800,42.56
2000-07-03,52.50,54.75,49.50,51.69,13163300,37.52
2000-06-01,52.06,54.00,47.94,53.00,12857500,38.37
2000-05-01,159.00,162.00,48.75,52.63,14351800,38.10
2000-04-03,155.25,167.94,143.06,157.25,21992900,37.95
2000-03-01,133.50,164.88,126.25,155.63,25483700,37.55
2000-02-01,134.25,143.13,124.94,132.38,23404600,31.85
2000-01-03,153.00,154.94,133.06,134.00,22127500,32.24
1999-12-01,130.25,159.50,130.06,154.75,18000400,37.23
1999-11-01,133.63,141.31,128.19,130.13,13982700,31.23
1999-10-01,117.87,136.31,114.62,135.50,18647600,32.52
1999-09-01,112.75,122.50,111.37,118.56,15110400,28.45
1999-08-02,108.06,119.69,102.56,112.31,13061200,26.87
1999-07-01,112.06,120.00,108.69,109.00,14029900,26.08
1999-06-01,102.12,113.00,99.81,113.00,14371200,26.95
1999-05-03,105.44,111.75,100.25,101.69,16579100,24.26
1999-04-01,111.00,117.44,100.50,105.37,17822500,25.13
1999-03-01,100.12,114.19,97.56,110.62,16621500,26.39
1999-02-01,104.94,104.94,95.75,100.31,15271900,23.84
1999-01-04,101.37,105.00,94.06,104.87,16400200,24.93
1998-12-01,89.56,103.94,86.19,102.00,13837000,24.24
1998-11-02,87.62,94.62,86.12,90.37,12963700,21.41
1998-10-01,78.06,88.94,69.00,87.50,23778900,20.73
1998-09-01,81.00,84.94,72.62,79.56,24836600,18.84
1998-08-03,88.69,91.94,80.00,80.00,17736100,18.88
1998-07-01,91.69,96.87,88.06,89.44,15039600,21.11
1998-06-01,83.37,92.00,80.87,90.87,13249100,21.38
1998-05-01,85.44,86.25,81.00,83.37,11967700,19.61
1998-04-01,85.75,89.44,80.69,85.19,12855800,20.04
1998-03-02,77.75,87.62,75.25,86.19,12859800,20.27
1998-02-02,78.25,78.94,76.06,77.75,12368300,18.22
1998-01-02,73.31,77.87,70.25,77.50,14710300,18.16
1997-12-01,74.44,76.56,70.31,73.37,12147100,17.19
1997-11-03,66.12,74.75,65.69,73.87,13962700,17.23
1997-10-01,68.50,72.00,59.00,64.62,16429900,15.08
1997-09-02,64.00,71.87,63.50,68.06,14818400,15.88
1997-08-01,70.00,70.56,61.31,62.56,18058000,14.54
1997-07-01,65.94,74.62,65.50,70.12,14017700,16.30
1997-06-02,61.00,68.25,59.88,65.00,13181800,15.05
1997-05-01,110.62,118.00,58.13,60.38,18133100,13.98
1997-04-01,98.75,112.25,97.12,111.00,17675600,12.85
1997-03-03,102.00,107.25,98.25,99.25,17205100,11.49
1997-02-03,103.87,108.37,102.00,102.87,16183300,11.85
1997-01-02,98.75,107.87,95.87,103.50,20005200,11.92
1996-12-02,103.37,104.87,94.75,98.87,20288300,11.39
1996-11-01,97.00,106.12,96.25,104.00,13891100,11.92
1996-10-01,91.00,97.50,90.50,96.75,11097500,11.09
1996-09-03,82.25,92.00,81.75,91.00,14013800,10.43
1996-08-01,82.12,87.00,82.12,83.12,10777600,9.48
1996-07-01,86.87,87.87,77.87,82.25,14266900,9.38
1996-06-03,82.50,88.12,81.87,86.75,15856700,9.84
1996-05-01,77.12,85.62,73.75,82.75,15341900,9.38
1996-04-01,78.50,80.62,74.12,77.25,14498100,8.76
1996-03-01,76.12,79.50,73.62,77.87,14325000,8.83
1996-02-01,76.37,80.50,75.37,75.50,15559800,8.51
1996-01-02,71.37,76.75,69.50,76.75,14750200,8.65
1995-12-01,67.50,73.12,67.50,72.00,14872600,8.12
1995-11-01,63.00,68.12,61.75,67.12,11811200,7.52
1995-10-02,63.50,65.25,60.88,63.25,11596800,7.08
1995-09-01,58.75,64.62,58.38,63.75,13961600,7.14
1995-08-01,59.00,59.50,56.88,58.88,9894000,6.55
1995-07-03,56.50,60.50,56.38,59.00,13555600,6.57
1995-06-01,57.88,58.38,55.50,56.38,13665300,6.27
1995-05-01,56.00,59.25,55.75,58.00,14636400,6.41
1995-04-03,54.38,56.88,53.38,56.00,12058000,6.19
1995-03-01,54.13,55.38,52.00,54.00,12355500,5.97
1995-02-01,51.63,56.00,50.75,54.75,13405100,6.00
1995-01-03,50.75,53.00,49.88,51.50,11795800,5.65
1994-12-01,46.13,51.88,45.38,51.00,14595100,5.59
1994-11-01,48.75,49.88,45.38,46.00,12418900,5.00
1994-10-03,48.38,51.00,46.63,48.88,15516800,5.32
1994-09-01,50.00,51.38,48.13,48.13,11463000,5.23
1994-08-01,50.25,51.25,46.50,49.75,14902900,5.37
1994-07-01,47.25,50.63,46.25,50.38,11518800,5.44
1994-06-01,49.63,50.38,45.00,46.63,15792600,5.03
1994-05-02,95.25,99.37,46.63,49.75,14706800,5.33
1994-04-04,97.00,99.62,94.00,95.25,16718000,5.10
1994-03-01,105.50,106.50,96.62,100.00,15281300,5.36
1994-02-01,107.50,109.75,104.62,105.37,12584900,5.61
1994-01-03,104.62,109.50,102.62,107.75,15506800,5.73
1993-12-01,98.75,107.00,97.75,104.87,14050500,5.58
1993-11-01,96.87,99.75,92.75,98.37,12351100,5.20
1993-10-01,95.75,98.87,94.75,97.00,9660200,5.13
1993-09-01,98.25,98.75,94.50,95.87,11791400,5.07
1993-08-02,98.50,100.25,96.00,98.25,9995600,5.16
1993-07-01,95.75,100.87,94.50,98.50,13224200,5.17
1993-06-01,93.00,96.37,92.75,95.75,12670500,5.03
1993-05-03,90.62,95.12,88.75,92.75,13567700,4.84
1993-04-01,89.50,96.00,88.25,90.62,14412300,4.73
1993-03-01,84.50,91.00,83.25,89.12,13607800,4.65
1993-02-01,86.00,87.75,80.87,84.12,15481900,4.35
1993-01-04,85.62,87.25,82.50,86.12,13333200,4.46
1992-12-01,82.50,87.50,81.37,85.50,12088300,4.43
1992-11-02,76.87,83.75,76.87,83.25,13563700,4.28
1992-10-01,78.50,78.50,73.12,76.75,11200200,3.94
1992-09-01,73.87,79.75,73.50,78.25,12728400,4.02
1992-08-03,76.37,76.87,73.00,74.00,11325600,3.77
1992-07-01,78.12,78.75,74.75,76.50,11794300,3.90
1992-06-01,76.50,79.37,74.75,77.75,11081800,3.96
1992-05-01,76.37,79.62,75.12,76.37,12472900,3.87
1992-04-01,75.50,79.25,72.75,76.62,16580700,3.88
1992-03-02,78.62,79.87,75.62,75.75,12393700,3.84
1992-02-03,75.00,80.75,74.87,78.62,15444900,3.95
1992-01-02,75.62,80.75,73.62,75.25,19899600,3.78
1991-12-02,64.00,78.12,62.00,76.50,23141700,3.85
1991-11-01,69.50,70.50,64.37,64.75,16360900,3.23
1991-10-01,69.75,72.50,65.25,69.00,16771600,3.44
1991-09-03,74.87,75.37,67.37,69.37,16903900,3.46
1991-08-01,73.37,75.62,68.87,74.87,15539600,3.71
1991-07-01,74.50,75.75,71.37,73.25,14893900,3.63
1991-06-03,77.00,77.62,72.87,74.00,13921800,3.66
1991-05-01,71.00,77.37,69.62,77.25,14554500,3.82
1991-04-01,69.62,75.75,69.50,70.75,16549000,3.48
1991-03-01,67.37,70.50,65.50,69.62,17692000,3.42
1991-02-01,63.75,71.00,63.25,68.00,25960800,3.34
1991-01-02,57.13,64.12,53.00,64.00,22886000,3.12
1990-12-03,54.75,58.50,54.38,57.38,16428200,2.80
1990-11-01,51.63,56.25,51.25,54.75,19360400,2.65
1990-10-01,54.50,57.38,50.00,52.00,23330300,2.51
1990-09-04,61.38,62.38,50.25,54.50,24891500,2.63
1990-08-01,71.50,72.12,57.75,62.00,24380200,2.97
1990-07-02,69.37,75.50,69.37,71.62,18479800,3.43
1990-06-01,69.62,71.12,68.25,69.25,14206200,3.32
1990-05-01,64.25,70.12,64.25,68.87,17860800,3.30
1990-04-02,63.88,67.25,63.63,64.00,15020200,3.05
1990-03-01,61.63,65.25,61.13,64.25,17489500,3.06
1990-02-01,62.25,63.75,60.13,61.75,17795000,2.94
1990-01-02,64.62,67.00,60.75,62.25,22307900,2.94
