http://www.federalreserve.gov/releases/h15/data.htm

  ,Instrument,"U.S. government securities/Treasury constant maturities/Nominal"
  ,Maturity,"5-year"
  ,Frequency,"Weekly (Friday)"
  ,Description,"Market yield on U.S. Treasury securities at 5-year constant maturity, quoted on investment basis"
  ,Note,"Yields on actively traded non-inflation-indexed issues adjusted to constant maturities. The 30-year Treasury constant maturity series was discontinued on February 18, 2002, and reintroduced on February 9, 2006. From February 18, 2002, to February 9, 2006, the U.S. Treasury published a factor for adjusting the daily nominal 20-year constant maturity in order to estimate a 30-year nominal rate. The historical adjustment factor can be found at www.treasury.gov/resource-center/data-chart-center/interest-rates/. Source: U.S. Treasury."


DATE      , TCMNOMY5
01/05/1962, 3.88
01/12/1962, 3.93
01/19/1962, 3.96
01/26/1962, 3.94
02/02/1962, 3.98
02/09/1962, 3.94
02/16/1962, 3.90
02/23/1962, 3.86
03/02/1962, 3.76
03/09/1962, 3.73
03/16/1962, 3.72
03/23/1962, 3.64
03/30/1962, 3.64
04/06/1962, 3.55
04/13/1962, 3.59
04/20/1962, 3.60
04/27/1962, 3.65
05/04/1962, 3.64
05/11/1962, 3.62
05/18/1962, 3.67
05/25/1962, 3.70
06/01/1962, 3.65
06/08/1962, 3.62
06/15/1962, 3.59
06/22/1962, 3.62
06/29/1962, 3.72
07/06/1962, 3.78
07/13/1962, 3.79
07/20/1962, 3.82
07/27/1962, 3.81
08/03/1962, 3.79
08/10/1962, 3.77
08/17/1962, 3.71
08/24/1962, 3.66
08/31/1962, 3.67
09/07/1962, 3.70
09/14/1962, 3.72
09/21/1962, 3.71
09/28/1962, 3.67
10/05/1962, 3.62
10/12/1962, 3.63
10/19/1962, 3.63
10/26/1962, 3.66
11/02/1962, 3.63
11/09/1962, 3.59
11/16/1962, 3.60
11/23/1962, 3.60
11/30/1962, 3.59
12/07/1962, 3.60
12/14/1962, 3.57
12/21/1962, 3.54
12/28/1962, 3.52
01/04/1963, 3.55
01/11/1963, 3.56
01/18/1963, 3.55
01/25/1963, 3.61
02/01/1963, 3.64
02/08/1963, 3.65
02/15/1963, 3.65
02/22/1963, 3.66
03/01/1963, 3.68
03/08/1963, 3.67
03/15/1963, 3.68
03/22/1963, 3.68
03/29/1963, 3.71
04/05/1963, 3.70
04/12/1963, 3.74
04/19/1963, 3.76
04/26/1963, 3.75
05/03/1963, 3.72
05/10/1963, 3.70
05/17/1963, 3.69
05/24/1963, 3.71
05/31/1963, 3.77
06/07/1963, 3.80
06/14/1963, 3.81
06/21/1963, 3.83
06/28/1963, 3.82
07/05/1963, 3.86
07/12/1963, 3.91
07/19/1963, 3.91
07/26/1963, 3.90
08/02/1963, 3.87
08/09/1963, 3.88
08/16/1963, 3.90
08/23/1963, 3.89
08/30/1963, 3.91
09/06/1963, 3.96
09/13/1963, 3.97
09/20/1963, 3.96
09/27/1963, 3.95
10/04/1963, 3.93
10/11/1963, 3.96
10/18/1963, 3.97
10/25/1963, 3.98
11/01/1963, 4.00
11/08/1963, 4.04
11/15/1963, 4.02
11/22/1963, 4.00
11/29/1963, 3.99
12/06/1963, 4.01
12/13/1963, 4.03
12/20/1963, 4.07
12/27/1963, 4.06
01/03/1964, 4.06
01/10/1964, 4.09
01/17/1964, 4.08
01/24/1964, 4.05
01/31/1964, 4.05
02/07/1964, 4.02
02/14/1964, 4.02
02/21/1964, 4.03
02/28/1964, 4.07
03/06/1964, 4.10
03/13/1964, 4.11
03/20/1964, 4.14
03/27/1964, 4.20
04/03/1964, 4.18
04/10/1964, 4.16
04/17/1964, 4.15
04/24/1964, 4.14
05/01/1964, 4.14
05/08/1964, 4.09
05/15/1964, 4.02
05/22/1964, 4.04
05/29/1964, 4.03
06/05/1964, 4.03
06/12/1964, 4.02
06/19/1964, 4.02
06/26/1964, 4.02
07/03/1964, 4.01
07/10/1964, 4.01
07/17/1964, 4.03
07/24/1964, 4.04
07/31/1964, 4.04
08/07/1964, 4.04
08/14/1964, 4.06
08/21/1964, 4.05
08/28/1964, 4.06
09/04/1964, 4.08
09/11/1964, 4.10
09/18/1964, 4.09
09/25/1964, 4.06
10/02/1964, 4.05
10/09/1964, 4.07
10/16/1964, 4.08
10/23/1964, 4.08
10/30/1964, 4.05
11/06/1964, 4.04
11/13/1964, 4.01
11/20/1964, 4.01
11/27/1964, 4.10
12/04/1964, 4.11
12/11/1964, 4.06
12/18/1964, 4.08
12/25/1964, 4.09
01/01/1965, 4.10
01/08/1965, 4.12
01/15/1965, 4.11
01/22/1965, 4.09
01/29/1965, 4.09
02/05/1965, 4.14
02/12/1965, 4.15
02/19/1965, 4.15
02/26/1965, 4.15
03/05/1965, 4.17
03/12/1965, 4.17
03/19/1965, 4.13
03/26/1965, 4.13
04/02/1965, 4.14
04/09/1965, 4.14
04/16/1965, 4.15
04/23/1965, 4.16
04/30/1965, 4.16
05/07/1965, 4.14
05/14/1965, 4.15
05/21/1965, 4.15
05/28/1965, 4.15
06/04/1965, 4.15
06/11/1965, 4.16
06/18/1965, 4.15
06/25/1965, 4.14
07/02/1965, 4.15
07/09/1965, 4.15
07/16/1965, 4.15
07/23/1965, 4.14
07/30/1965, 4.16
08/06/1965, 4.18
08/13/1965, 4.20
08/20/1965, 4.21
08/27/1965, 4.22
09/03/1965, 4.22
09/10/1965, 4.24
09/17/1965, 4.23
09/24/1965, 4.25
10/01/1965, 4.32
10/08/1965, 4.32
10/15/1965, 4.31
10/22/1965, 4.34
10/29/1965, 4.38
11/05/1965, 4.45
11/12/1965, 4.49
11/19/1965, 4.46
11/26/1965, 4.45
12/03/1965, 4.49
12/10/1965, 4.69
12/17/1965, 4.76
12/24/1965, 4.75
12/31/1965, 4.82
01/07/1966, 4.86
01/14/1966, 4.81
01/21/1966, 4.84
01/28/1966, 4.91
02/04/1966, 4.95
02/11/1966, 4.98
02/18/1966, 4.99
02/25/1966, 5.00
03/04/1966, 5.00
03/11/1966, 4.97
03/18/1966, 4.91
03/25/1966, 4.86
04/01/1966, 4.86
04/08/1966, 4.80
04/15/1966, 4.84
04/22/1966, 4.84
04/29/1966, 4.85
05/06/1966, 4.86
05/13/1966, 4.84
05/20/1966, 4.85
05/27/1966, 4.97
06/03/1966, 5.01
06/10/1966, 5.01
06/17/1966, 4.95
06/24/1966, 4.89
07/01/1966, 5.04
07/08/1966, 5.10
07/15/1966, 5.20
07/22/1966, 5.17
07/29/1966, 5.21
08/05/1966, 5.27
08/12/1966, 5.33
08/19/1966, 5.53
08/26/1966, 5.69
09/02/1966, 5.72
09/09/1966, 5.53
09/16/1966, 5.53
09/23/1966, 5.54
09/30/1966, 5.35
10/07/1966, 5.29
10/14/1966, 5.29
10/21/1966, 5.25
10/28/1966, 5.25
11/04/1966, 5.30
11/11/1966, 5.37
11/18/1966, 5.41
11/25/1966, 5.38
12/02/1966, 5.28
12/09/1966, 5.23
12/16/1966, 5.00
12/23/1966, 4.85
12/30/1966, 4.81
01/06/1967, 4.79
01/13/1967, 4.74
01/20/1967, 4.65
01/27/1967, 4.69
02/03/1967, 4.65
