Date,S&P 500 Earnings
1881-01,11.51
1881-02,11.17
1881-03,11.17
1881-04,10.82
1881-05,10.94
1881-06,10.94
1881-07,10.59
1881-08,10.39
1881-09,9.78
1881-10,9.69
1881-11,9.57
1881-12,9.57
1882-01,9.57
1882-02,9.47
1882-03,9.47
1882-04,9.39
1882-05,9.30
1882-06,9.22
1882-07,9.09
1882-08,9.01
1882-09,9.26
1882-10,9.35
1882-11,9.43
1882-12,9.53
1883-01,9.53
1883-02,9.43
1883-03,9.30
1883-04,9.39
1883-05,9.48
1883-06,9.77
1883-07,9.74
1883-08,9.74
1883-09,9.83
1883-10,9.83
1883-11,9.70
1883-12,9.59
1884-01,9.35
1884-02,9.35
1884-03,9.11
1884-04,9.06
1884-05,9.00
1884-06,9.00
1884-07,8.85
1884-08,8.60
1884-09,8.43
1884-10,8.53
1884-11,8.46
1884-12,8.29
1885-01,8.29
1885-02,7.93
1885-03,8.12
1885-04,8.02
1885-05,7.93
1885-06,8.12
1885-07,8.03
1885-08,7.76
1885-09,7.84
1885-10,7.84
1885-11,7.48
1885-12,7.30
1886-01,7.76
1886-02,7.76
1886-03,8.12
1886-04,8.23
1886-05,8.72
1886-06,8.83
1886-07,9.02
1886-08,8.90
1886-09,9.19
1886-10,9.19
1886-11,9.47
1886-12,9.36
1887-01,9.14
1887-02,9.30
1887-03,9.30
1887-04,9.30
1887-05,9.30
1887-06,9.69
1887-07,9.80
1887-08,9.69
1887-09,9.80
1887-10,9.97
1887-11,9.85
1887-12,9.62
1888-01,9.25
1888-02,9.09
1888-03,9.09
1888-04,8.93
1888-05,8.75
1888-06,8.59
1888-07,8.21
1888-08,7.93
1888-09,7.93
1888-10,7.58
1888-11,7.22
1888-12,6.95
1889-01,7.20
1889-02,7.56
1889-03,7.66
1889-04,7.66
1889-05,8.14
1889-06,8.14
1889-07,8.14
1889-08,8.43
1889-09,8.32
1889-10,8.32
1889-11,8.61
1889-12,8.51
1890-01,8.72
1890-02,8.72
1890-03,8.72
1890-04,8.72
1890-05,8.61
1890-06,8.61
1890-07,8.32
1890-08,8.03
1890-09,7.93
1890-10,7.93
1890-11,8.12
1890-12,8.12
1891-01,8.23
1891-02,8.40
1891-03,8.31
1891-04,8.48
1891-05,8.59
1891-06,9.08
1891-07,9.19
1891-08,9.19
1891-09,9.60
1891-10,9.60
1891-11,10.01
1891-12,10.01
1892-01,10.27
1892-02,10.57
1892-03,10.85
1892-04,11.00
1892-05,11.00
1892-06,11.32
1892-07,11.02
1892-08,10.87
1892-09,10.87
1892-10,11.17
1892-11,10.89
1892-12,10.76
1893-01,10.09
1893-02,9.69
1893-03,9.65
1893-04,9.47
1893-05,9.31
1893-06,9.54
1893-07,9.49
1893-08,9.55
1893-09,8.88
1893-10,8.45
1893-11,8.37
1893-12,8.17
1894-01,8.08
1894-02,7.86
1894-03,8.08
1894-04,7.75
1894-05,7.41
1894-06,7.07
1894-07,6.74
1894-08,6.22
1894-09,6.14
1894-10,5.98
1894-11,5.65
1894-12,5.39
1895-01,5.73
1895-02,6.06
1895-03,6.06
1895-04,6.14
1895-05,6.37
1895-06,6.60
1895-07,6.69
1895-08,7.11
1895-09,7.43
1895-10,7.75
1895-11,7.75
1895-12,8.18
1896-01,8.31
1896-02,8.08
1896-03,8.08
1896-04,8.21
1896-05,7.99
1896-06,8.11
1896-07,8.11
1896-08,7.75
1896-09,7.75
1896-10,7.53
1896-11,6.98
1896-12,6.98
1897-01,7.53
1897-02,7.87
1897-03,8.21
1897-04,8.34
1897-05,8.81
1897-06,9.16
1897-07,9.51
1897-08,9.43
1897-09,9.49
1897-10,9.64
1897-11,9.97
1897-12,10.30
1898-01,10.30
1898-02,10.48
1898-03,10.48
1898-04,10.48
1898-05,10.10
1898-06,10.80
1898-07,10.97
1898-08,11.30
1898-09,11.30
1898-10,11.30
1898-11,11.63
1898-12,11.46
1899-01,11.79
1899-02,11.78
1899-03,12.10
1899-04,12.26
1899-05,12.57
1899-06,13.02
1899-07,13.16
1899-08,13.28
1899-09,13.09
1899-10,13.20
1899-11,13.34
1899-12,13.45
1900-01,13.45
1900-02,13.30
1900-03,13.30
1900-04,13.30
1900-05,13.62
1900-06,13.78
1900-07,13.62
1900-08,13.78
1900-09,13.62
1900-10,13.78
1900-11,13.78
1900-12,13.96
1901-01,13.78
1901-02,13.96
1901-03,14.25
1901-04,14.42
1901-05,14.42
1901-06,14.42
1901-07,14.25
1901-08,14.07
1901-09,14.19
1901-10,14.19
1901-11,14.01
1901-12,13.85
1902-01,14.29
1902-02,14.57
1902-03,14.85
1902-04,14.96
1902-05,15.05
1902-06,15.42
1902-07,15.69
1902-08,16.14
1902-09,16.23
1902-10,15.43
1902-11,16.20
1902-12,16.29
1903-01,15.84
1903-02,15.59
1903-03,16.13
1903-04,15.86
1903-05,15.96
1903-06,15.69
1903-07,15.42
1903-08,15.15
1903-09,14.97
1903-10,14.88
1903-11,14.77
1903-12,14.50
1904-01,14.17
1904-02,13.59
1904-03,13.75
1904-04,13.90
1904-05,13.95
1904-06,13.95
1904-07,13.95
1904-08,13.53
1904-09,13.36
1904-10,13.36
1904-11,12.80
1904-12,12.80
1905-01,13.33
1905-02,13.59
1905-03,14.28
1905-04,14.54
1905-05,15.24
1905-06,15.50
1905-07,16.04
1905-08,16.13
1905-09,16.84
1905-10,17.11
1905-11,17.45
1905-12,17.51
1906-01,17.77
1906-02,18.03
1906-03,18.03
1906-04,18.29
1906-05,18.36
1906-06,18.61
1906-07,19.24
1906-08,19.07
1906-09,19.13
1906-10,18.97
1906-11,18.76
1906-12,18.81
1907-01,18.76
1907-02,18.12
1907-03,18.32
1907-04,18.07
1907-05,17.45
1907-06,17.02
1907-07,16.78
1907-08,16.54
1907-09,16.54
1907-10,16.15
1907-11,16.59
1907-12,16.69
1908-01,16.61
1908-02,16.81
1908-03,16.55
1908-04,16.10
1908-05,16.10
1908-06,15.84
1908-07,15.43
1908-08,15.43
1908-09,15.18
1908-10,14.75
1908-11,14.61
1908-12,14.20
1909-01,14.85
1909-02,14.93
1909-03,15.42
1909-04,15.35
1909-05,15.67
1909-06,15.74
1909-07,16.21
1909-08,16.29
1909-09,16.58
1909-10,16.49
1909-11,16.77
1909-12,16.84
1910-01,16.99
1910-02,16.99
1910-03,16.45
1910-04,16.30
1910-05,16.61
1910-06,16.77
1910-07,16.54
1910-08,16.71
1910-09,16.88
1910-10,17.39
1910-11,17.50
1910-12,17.50
1911-01,17.26
1911-02,17.58
1911-03,17.14
1911-04,17.20
1911-05,16.95
1911-06,16.69
1911-07,16.25
1911-08,15.51
1911-09,15.11
1911-10,14.63
1911-11,14.54
1911-12,14.44
1912-01,14.54
1912-02,14.63
1912-03,14.57
1912-04,14.37
1912-05,14.60
1912-06,14.97
1912-07,14.97
1912-08,15.06
1912-09,15.13
1912-10,15.36
1912-11,15.58
1912-12,15.97
1913-01,15.58
1913-02,15.58
1913-03,15.36
1913-04,15.36
1913-05,15.29
1913-06,15.13
1913-07,14.75
1913-08,14.53
1913-09,14.39
1913-10,14.16
1913-11,14.02
1913-12,13.94
1914-01,13.72
1914-02,13.64
1914-03,13.41
1914-04,13.32
1914-05,12.97
1914-06,12.97
1914-07,12.61
1914-08,12.15
1914-09,11.93
1914-10,11.83
1914-11,11.50
1914-12,11.39
1915-01,12.05
1915-02,12.84
1915-03,13.64
1915-04,14.16
1915-05,14.68
1915-06,15.34
1915-07,16.00
1915-08,16.65
1915-09,17.31
1915-10,17.79
1915-11,18.26
1915-12,18.91
1916-01,19.79
1916-02,21.07
1916-03,21.92
1916-04,22.97
1916-05,23.79
1916-06,24.79
1916-07,25.82
1916-08,26.60
1916-09,27.31
1916-10,27.81
1916-11,28.48
1916-12,29.19
1917-01,28.56
1917-02,27.48
1917-03,27.11
1917-04,25.47
1917-05,24.72
1917-06,24.00
1917-07,23.86
1917-08,23.15
1917-09,22.30
1917-10,21.64
1917-11,21.31
1917-12,20.68
1918-01,19.92
1918-02,19.31
1918-03,19.13
1918-04,18.39
1918-05,17.70
1918-06,17.16
1918-07,16.27
1918-08,15.66
1918-09,14.94
1918-10,14.39
1918-11,13.71
1918-12,13.28
1919-01,13.28
1919-02,13.39
1919-03,13.22
1919-04,12.85
1919-05,12.70
1919-06,12.57
1919-07,12.21
1919-08,11.88
1919-09,11.81
1919-10,11.49
1919-11,11.24
1919-12,10.89
1920-01,10.55
1920-02,10.33
1920-03,10.11
1920-04,9.70
1920-05,9.45
1920-06,9.21
1920-07,9.04
1920-08,9.16
1920-09,9.18
1920-10,9.12
1920-11,9.05
1920-12,9.13
1921-01,8.85
1921-02,8.66
1921-03,8.10
1921-04,7.70
1921-05,7.38
1921-06,6.92
1921-07,6.25
1921-08,5.75
1921-09,5.31
1921-10,4.81
1921-11,4.20
1921-12,3.71
1922-01,4.19
1922-02,4.71
1922-03,5.17
1922-04,5.57
1922-05,6.10
1922-06,6.49
1922-07,6.85
1922-08,7.47
1922-09,7.87
1922-10,8.22
1922-11,8.69
1922-12,9.04
1923-01,9.35
1923-02,9.75
1923-03,10.01
1923-04,10.35
1923-05,10.61
1923-06,10.94
1923-07,11.07
1923-08,11.39
1923-09,11.71
1923-10,11.90
1923-11,12.28
1923-12,12.54
1924-01,12.54
1924-02,12.48
1924-03,12.55
1924-04,12.50
1924-05,12.50
1924-06,12.50
1924-07,12.29
1924-08,12.37
1924-09,12.17
1924-10,12.09
1924-11,11.97
1924-12,11.90
1925-01,12.28
1925-02,12.61
1925-03,12.92
1925-04,13.38
1925-05,13.56
1925-06,13.78
1925-07,14.00
1925-08,14.25
1925-09,14.63
1925-10,15.00
1925-11,15.00
1925-12,15.45
1926-01,15.45
1926-02,15.45
1926-03,15.54
1926-04,15.45
1926-05,15.54
1926-06,15.63
1926-07,15.68
1926-08,15.77
1926-09,15.68
1926-10,15.59
1926-11,15.50
1926-12,15.50
1927-01,15.55
1927-02,15.52
1927-03,15.48
1927-04,15.35
1927-05,15.14
1927-06,14.84
1927-07,14.84
1927-08,14.80
1927-09,14.58
1927-10,14.37
1927-11,14.33
1927-12,14.20
1928-01,14.46
1928-02,15.01
1928-03,15.27
1928-04,15.53
1928-05,15.70
1928-06,16.18
1928-07,16.44
1928-08,16.70
1928-09,16.76
1928-10,17.24
1928-11,17.50
1928-12,17.86
1929-01,18.12
1929-02,18.38
1929-03,18.75
1929-04,19.12
1929-05,19.27
1929-06,19.41
1929-07,19.32
1929-08,19.57
1929-09,19.83
1929-10,20.08
1929-11,20.34
1929-12,20.72
1930-01,20.19
1930-02,19.53
1930-03,18.99
1930-04,18.23
1930-05,17.55
1930-06,16.99
1930-07,16.53
1930-08,15.83
1930-09,15.07
1930-10,14.49
1930-11,13.76
1930-12,13.33
1931-01,13.08
1931-02,12.83
1931-03,12.48
1931-04,12.14
1931-05,11.86
1931-06,11.58
1931-07,11.14
1931-08,10.70
1931-09,10.33
1931-10,9.95
1931-11,9.64
1931-12,9.25
1932-01,9.13
1932-02,9.10
1932-03,8.85
1932-04,8.60
1932-05,8.56
1932-06,8.30
1932-07,7.97
1932-08,7.87
1932-09,7.60
1932-10,7.32
1932-11,7.21
1932-12,6.93
1933-01,7.03
1933-02,7.32
1933-03,7.38
1933-04,7.38
1933-05,7.38
1933-06,7.49
1933-07,7.26
1933-08,7.21
1933-09,7.21
1933-10,7.38
1933-11,7.38
1933-12,7.38
1934-01,7.38
1934-02,7.49
1934-03,7.49
1934-04,7.65
1934-05,7.65
1934-06,7.76
1934-07,7.76
1934-08,7.76
