Date,S&P 500 Earnings
1881-01,11.51
1881-02,11.17
1881-03,11.17
1881-04,10.82
1881-05,10.94
1881-06,10.94
1881-07,10.59
1881-08,10.39
1881-09,9.78
1881-10,9.69
1881-11,9.57
1881-12,9.57
1882-01,9.57
1882-02,9.47
1882-03,9.47
1882-04,9.39
1882-05,9.3
1882-06,9.22
1882-07,9.09
1882-08,9.01
1882-09,9.26
1882-10,9.35
1882-11,9.43
1882-12,9.53
1883-01,9.53
1883-02,9.43
1883-03,9.3
1883-04,9.39
1883-05,9.48
1883-06,9.77
1883-07,9.74
1883-08,9.74
1883-09,9.83
1883-10,9.83
1883-11,9.7
1883-12,9.59
1884-01,9.35
1884-02,9.35
1884-03,9.11
1884-04,9.06
1884-05,9
1884-06,9
1884-07,8.85
1884-08,8.6
1884-09,8.43
1884-10,8.53
1884-11,8.46
1884-12,8.29
1885-01,8.29
1885-02,7.93
1885-03,8.12
1885-04,8.02
1885-05,7.93
1885-06,8.12
1885-07,8.03
1885-08,7.76
1885-09,7.84
1885-10,7.84
1885-11,7.48
1885-12,7.3
1886-01,7.76
1886-02,7.76
1886-03,8.12
1886-04,8.23
1886-05,8.72
1886-06,8.83
1886-07,9.02
1886-08,8.9
1886-09,9.19
1886-10,9.19
1886-11,9.47
1886-12,9.36
1887-01,9.14
1887-02,9.3
1887-03,9.3
1887-04,9.3
1887-05,9.3
1887-06,9.69
1887-07,9.8
1887-08,9.69
1887-09,9.8
1887-10,9.97
1887-11,9.85
1887-12,9.62
1888-01,9.25
1888-02,9.09
1888-03,9.09
1888-04,8.93
1888-05,8.75
1888-06,8.59
1888-07,8.21
1888-08,7.93
1888-09,7.93
1888-10,7.58
1888-11,7.22
1888-12,6.95
1889-01,7.2
1889-02,7.56
1889-03,7.66
1889-04,7.66
1889-05,8.14
1889-06,8.14
1889-07,8.14
1889-08,8.43
1889-09,8.32
1889-10,8.32
1889-11,8.61
1889-12,8.51
1890-01,8.72
1890-02,8.72
1890-03,8.72
1890-04,8.72
1890-05,8.61
1890-06,8.61
1890-07,8.32
1890-08,8.03
1890-09,7.93
1890-10,7.93
1890-11,8.12
1890-12,8.12
1891-01,8.23
1891-02,8.4
1891-03,8.31
1891-04,8.48
1891-05,8.59
1891-06,9.08
1891-07,9.19
1891-08,9.19
1891-09,9.6
1891-10,9.6
1891-11,10.01
1891-12,10.01
1892-01,10.27
1892-02,10.57
1892-03,10.85
1892-04,11
1892-05,11
1892-06,11.32
1892-07,11.02
1892-08,10.87
1892-09,10.87
1892-10,11.17
1892-11,10.89
1892-12,10.76
1893-01,10.09
1893-02,9.69
1893-03,9.65
1893-04,9.47
1893-05,9.31
1893-06,9.54
1893-07,9.49
1893-08,9.55
1893-09,8.88
1893-10,8.45
1893-11,8.37
1893-12,8.17
1894-01,8.08
1894-02,7.86
1894-03,8.08
1894-04,7.75
1894-05,7.41
1894-06,7.07
1894-07,6.74
1894-08,6.22
1894-09,6.14
1894-10,5.98
1894-11,5.65
1894-12,5.39
1895-01,5.73
1895-02,6.06
1895-03,6.06
1895-04,6.14
1895-05,6.37
1895-06,6.6
1895-07,6.69
1895-08,7.11
1895-09,7.43
1895-10,7.75
1895-11,7.75
1895-12,8.18
1896-01,8.31
1896-02,8.08
1896-03,8.08
1896-04,8.21
1896-05,7.99
1896-06,8.11
1896-07,8.11
1896-08,7.75
1896-09,7.75
1896-10,7.53
1896-11,6.98
1896-12,6.98
1897-01,7.53
1897-02,7.87
1897-03,8.21
1897-04,8.34
1897-05,8.81
1897-06,9.16
1897-07,9.51
1897-08,9.43
1897-09,9.49
1897-10,9.64
1897-11,9.97
1897-12,10.3
1898-01,10.3
1898-02,10.48
1898-03,10.48
1898-04,10.48
1898-05,10.1
1898-06,10.8
1898-07,10.97
1898-08,11.3
1898-09,11.3
1898-10,11.3
1898-11,11.63
1898-12,11.46
1899-01,11.79
1899-02,11.78
1899-03,12.1
1899-04,12.26
1899-05,12.57
1899-06,13.02
1899-07,13.16
1899-08,13.28
1899-09,13.09
1899-10,13.2
1899-11,13.34
1899-12,13.45
Jan-00,13.45
Feb-00,13.3
Mar-00,13.3
Apr-00,13.3
May-00,13.62
Jun-00,13.78
Jul-00,13.62
Aug-00,13.78
Sep-00,13.62
Oct-00,13.78
Nov-00,13.78
Dec-00,13.96
Jan-01,13.78
Feb-01,13.96
Mar-01,14.25
Apr-01,14.42
May-01,14.42
Jun-01,14.42
Jul-01,14.25
Aug-01,14.07
Sep-01,14.19
Oct-01,14.19
Nov-01,14.01
Dec-01,13.85
Jan-02,14.29
Feb-02,14.57
Mar-02,14.85
Apr-02,14.96
May-02,15.05
Jun-02,15.42
Jul-02,15.69
Aug-02,16.14
Sep-02,16.23
Oct-02,15.43
Nov-02,16.2
Dec-02,16.29
Jan-03,15.84
Feb-03,15.59
Mar-03,16.13
Apr-03,15.86
May-03,15.96
Jun-03,15.69
Jul-03,15.42
Aug-03,15.15
Sep-03,14.97
Oct-03,14.88
Nov-03,14.77
Dec-03,14.5
Jan-04,14.17
Feb-04,13.59
Mar-04,13.75
Apr-04,13.9
May-04,13.95
Jun-04,13.95
Jul-04,13.95
Aug-04,13.53
Sep-04,13.36
Oct-04,13.36
Nov-04,12.8
Dec-04,12.8
Jan-05,13.33
Feb-05,13.59
Mar-05,14.28
Apr-05,14.54
May-05,15.24
Jun-05,15.5
Jul-05,16.04
Aug-05,16.13
Sep-05,16.84
Oct-05,17.11
Nov-05,17.45
Dec-05,17.51
Jan-06,17.77
Feb-06,18.03
Mar-06,18.03
Apr-06,18.29
May-06,18.36
Jun-06,18.61
Jul-06,19.24
Aug-06,19.07
Sep-06,19.13
Oct-06,18.97
Nov-06,18.76
Dec-06,18.81
Jan-07,18.76
Feb-07,18.12
Mar-07,18.32
Apr-07,18.07
May-07,17.45
Jun-07,17.02
Jul-07,16.78
Aug-07,16.54
Sep-07,16.54
Oct-07,16.15
Nov-07,16.59
Dec-07,16.69
Jan-08,16.61
Feb-08,16.81
Mar-08,16.55
Apr-08,16.1
May-08,16.1
Jun-08,15.84
Jul-08,15.43
Aug-08,15.43
Sep-08,15.18
Oct-08,14.75
Nov-08,14.61
Dec-08,14.2
Jan-09,14.85
Feb-09,14.93
Mar-09,15.42
Apr-09,15.35
May-09,15.67
Jun-09,15.74
Jul-09,16.21
Aug-09,16.29
Sep-09,16.58
Oct-09,16.49
Nov-09,16.77
Dec-09,16.84
Jan-10,16.99
Feb-10,16.99
Mar-10,16.45
Apr-10,16.3
May-10,16.61
Jun-10,16.77
Jul-10,16.54
Aug-10,16.71
Sep-10,16.88
Oct-10,17.39
Nov-10,17.5
Dec-10,17.5
Jan-11,17.26
Feb-11,17.58
Mar-11,17.14
Apr-11,17.2
May-11,16.95
Jun-11,16.69
Jul-11,16.25
Aug-11,15.51
Sep-11,15.11
Oct-11,14.63
Nov-11,14.54
Dec-11,14.44
Jan-12,14.54
Feb-12,14.63
Mar-12,14.57
Apr-12,14.37
May-12,14.6
Jun-12,14.97
Jul-12,14.97
Aug-12,15.06
Sep-12,15.13
Oct-12,15.36
Nov-12,15.58
Dec-12,15.97
Jan-13,15.58
Feb-13,15.58
Mar-13,15.36
Apr-13,15.36
May-13,15.29
Jun-13,15.13
Jul-13,14.75
Aug-13,14.53
Sep-13,14.39
Oct-13,14.16
Nov-13,14.02
Dec-13,13.94
Jan-14,13.72
Feb-14,13.64
Mar-14,13.41
Apr-14,13.32
May-14,12.97
Jun-14,12.97
Jul-14,12.61
Aug-14,12.15
Sep-14,11.93
Oct-14,11.83
Nov-14,11.5
Dec-14,11.39
Jan-15,12.05
Feb-15,12.84
Mar-15,13.64
Apr-15,14.16
May-15,14.68
Jun-15,15.34
Jul-15,16
Aug-15,16.65
Sep-15,17.31
Oct-15,17.79
Nov-15,18.26
Dec-15,18.91
Jan-16,19.79
Feb-16,21.07
Mar-16,21.92
Apr-16,22.97
May-16,23.79
Jun-16,24.79
Jul-16,25.82
Aug-16,26.6
Sep-16,27.31
Oct-16,27.81
Nov-16,28.48
Dec-16,29.19
Jan-17,28.56
Feb-17,27.48
Mar-17,27.11
Apr-17,25.47
May-17,24.72
Jun-17,24
Jul-17,23.86
Aug-17,23.15
Sep-17,22.3
Oct-17,21.64
Nov-17,21.31
Dec-17,20.68
Jan-18,19.92
Feb-18,19.31
Mar-18,19.13
Apr-18,18.39
May-18,17.7
Jun-18,17.16
Jul-18,16.27
Aug-18,15.66
Sep-18,14.94
Oct-18,14.39
Nov-18,13.71
Dec-18,13.28
Jan-19,13.28
Feb-19,13.39
Mar-19,13.22
Apr-19,12.85
May-19,12.7
Jun-19,12.57
Jul-19,12.21
Aug-19,11.88
Sep-19,11.81
Oct-19,11.49
Nov-19,11.24
Dec-19,10.89
Jan-20,10.55
Feb-20,10.33
Mar-20,10.11
Apr-20,9.7
May-20,9.45
Jun-20,9.21
Jul-20,9.04
Aug-20,9.16
Sep-20,9.18
Oct-20,9.12
Nov-20,9.05
Dec-20,9.13
Jan-21,8.85
Feb-21,8.66
Mar-21,8.1
Apr-21,7.7
May-21,7.38
Jun-21,6.92
Jul-21,6.25
Aug-21,5.75
Sep-21,5.31
Oct-21,4.81
Nov-21,4.2
Dec-21,3.71
Jan-22,4.19
Feb-22,4.71
Mar-22,5.17
Apr-22,5.57
May-22,6.1
Jun-22,6.49
Jul-22,6.85
Aug-22,7.47
Sep-22,7.87
Oct-22,8.22
Nov-22,8.69
Dec-22,9.04
Jan-23,9.35
Feb-23,9.75
Mar-23,10.01
Apr-23,10.35
May-23,10.61
Jun-23,10.94
Jul-23,11.07
Aug-23,11.39
Sep-23,11.71
Oct-23,11.9
Nov-23,12.28
Dec-23,12.54
Jan-24,12.54
Feb-24,12.48
Mar-24,12.55
Apr-24,12.5
May-24,12.5
Jun-24,12.5
Jul-24,12.29
Aug-24,12.37
Sep-24,12.17
Oct-24,12.09
Nov-24,11.97
Dec-24,11.9
Jan-25,12.28
Feb-25,12.61
Mar-25,12.92
Apr-25,13.38
May-25,13.56
Jun-25,13.78
Jul-25,14
Aug-25,14.25
Sep-25,14.63
Oct-25,15
Nov-25,15
Dec-25,15.45
Jan-26,15.45
Feb-26,15.45
Mar-26,15.54
Apr-26,15.45
May-26,15.54
Jun-26,15.63
Jul-26,15.68
Aug-26,15.77
Sep-26,15.68
Oct-26,15.59
Nov-26,15.5
Dec-26,15.5
Jan-27,15.55
Feb-27,15.52
Mar-27,15.48
Apr-27,15.35
May-27,15.14
Jun-27,14.84
Jul-27,14.84
Aug-27,14.8
Sep-27,14.58
Oct-27,14.37
Nov-27,14.33
Dec-27,14.2
Jan-28,14.46
Feb-28,15.01
Mar-28,15.27
Apr-28,15.53
May-28,15.7
Jun-28,16.18
Jul-28,16.44
Aug-28,16.7
Sep-28,16.76
Oct-28,17.24
Nov-28,17.5
Dec-28,17.86
Jan-29,18.12
Feb-29,18.38
Mar-29,18.75
Apr-29,19.12
May-29,19.27
Jun-29,19.41
Jul-29,19.32
Aug-29,19.57
Sep-29,19.83
Oct-29,20.08
Nov-29,20.34
Dec-29,20.72
Jan-30,20.19
Feb-30,19.53
Mar-30,18.99
Apr-30,18.23
May-30,17.55
Jun-30,16.99
Jul-30,16.53
Aug-30,15.83
Sep-30,15.07
Oct-30,14.49
Nov-30,13.76
Dec-30,13.33
Jan-31,13.08
Feb-31,12.83
Mar-31,12.48
Apr-31,12.14
May-31,11.86
Jun-31,11.58
Jul-31,11.14
Aug-31,10.7
Sep-31,10.33
Oct-31,9.95
Nov-31,9.64
